Enable,Key,Value,舉例,
V,symbol,符號,,
V,shortName,簡短名稱,,
V,longName,長名稱,,
V,timeZoneFullName,時區全名,,
V,timeZoneShortName,時區簡稱,,
V,firstTradeDateEpochUtc,首次交易日期（UTC）,,
,,,,
,,,,
V,exchange,交易所,"NYQ（New York Stock Exchange, NYSE）",CCC（Crypto Currency Exchange）
V,quoteType,報價類型,"EQUITY（股票）
CRYPTOCURRENCY（加密貨幣）
FOREX（外匯）
BOND（債券）
COMMODITY（商品）
INDEX（指數）
FUND（基金）",
V,currency,貨幣,,
V,marketCap,市值,,
,,,,
,,,,
V,open,開盤,,
V,previousClose,前收盤,,
V,dayHigh,日高,,
V,dayLow,日低,,
V,fiftyDayAverage,50日平均,,
V,twoHundredDayAverage,200日平均,,
V,fiftyTwoWeekHigh,52週最高,,
V,fiftyTwoWeekLow,52週最低,,
V,volume,交易量,,
V,averageVolume,平均交易量,,
V,averageVolume10days,10日平均交易量,,
,,,,
,,,,
,,,,
,uuid,UUID,,
,regularMarketDayHigh,常規市場日高,,
,regularMarketPreviousClose,常規市場前收盤,,
,regularMarketOpen,常規市場開盤,,
,maxAge,最大年齡,,
,regularMarketVolume,常規市場交易量,,
,regularMarketDayLow,常規市場日低,,
,priceHint,價格提示,,
,averageDailyVolume10Day,10日平均每日交易量,,
,underlyingSymbol,標的符號,,
